IDVenda;IDProduto;IDCliente;IDVendedor;Data;Quantidade;ValorTotal;Comentários;Status Pagamento
469;PROD050;56;15;45185;2;200;;Pago
470;PROD059;16;11;45523;5;750;;Pago
471;PROD050;12;11;45208;3;300;;Pago
472;PROD078;4;5;45318;5;600;;Pago
473;PROD033;30;10;45418;3;540;;Pago
474;PROD001;65;18;45517;4;100;;Pago
475;PROD078;14;9;45369;4;480;;Pago
476;PROD078;41;10;45446;1;120;;Pago
477;PROD074;64;11;45451;3;600;;Pago
478;PROD074;47;2;45468;2;400;;Pago
479;PROD003;94;13;45295;2;360;;Pago
480;PROD050;71;9;45378;2;200;;Pago
481;PROD012;67;4;45309;4;160;;Pago
482;PROD077;86;9;45249;3;240;;Pago
483;PROD074;31;10;45191;1;200;;Pago
484;PROD059;86;15;45303;2;300;;Pago
485;PROD043;31;17;45502;4;720;;Pago
486;PROD012;67;4;45523;2;800;;Pago
487;PROD074;94;12;45288;1;200;;Pago
488;PROD059;26;7;45329;1;150;;Pago
489;PROD056;68;5;45310;2;100;;Pago
490;PROD001;65;12;45517;1;250;;Pago
491;PROD074;70;8;45418;3;600;;Pago
492;PROD074;92;12;45449;3;600;;Pago
493;PROD074;57;1;45446;2;400;;Pago
494;PROD076;7;2;45239;4;200;;Pago
495;PROD069;46;1;45515;1;150;;Pago
496;PROD078;62;3;45421;4;480;;Pago
497;PROD065;37;11;45465;3;900;;Pago
498;PROD010;36;2;45393;3;300;;Pago
499;PROD001;9;5;45537;4;100;;Pago
500;PROD056;50;20;45215;1;500;;Pago
